基金代码,基金名称,截止日期,单位净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,起购金额,原手续费,现手续费,成立日期,基金经理,类型,管理人,资产规模
d005037,银华新能源新材料A,2021-11-24,2.4414,-2.27,1.62,2.30,2.80,49.67,83.58,224.65,277.05,56.79,144.12,10元,1.50%,0.15%,2017-09-15,李宜璇,股票型,银华基金,9.25亿元（截止至：2021-09-30）
d001279,中海积极增利混合,2021-11-24,3.0410,-2.34,0.66,5.52,3.61,55.23,83.52,188.25,331.35,64.65,204.10,10元,1.50%,0.15%,2015-05-20,左剑,混合型-灵活,中海基金,3.38亿元（截止至：2021-09-30）
d004745,长盛创新驱动灵活配置混合,2021-11-24,3.0174,-2.46,0.52,-0.71,-4.09,45.90,83.34,221.92,294.17,53.10,201.74,10元,1.50%,0.15%,2017-08-16,孟棋,混合型-灵活,长盛基金,11.27亿元（截止至：2021-09-30）
d501057,汇添富中证新能源汽车A,2021-11-24,3.3653,-1.48,3.26,4.01,3.78,52.31,83.33,281.21,331.56,57.48,236.53,1,0.12,0,2018-05-23,过蓓蓓,指数型-股票,汇添富基金,90.93亿元（截止至：2021-09-30）
d501058,汇添富中证新能源汽车C,2021-11-24,3.3321,-1.48,3.25,3.98,3.71,52.12,82.87,279.29,328.29,57.12,233.21,1,0.00,0,2018-05-23,过蓓蓓,指数型-股票,汇添富基金,62.68亿元（截止至：2021-09-30）
d005038,银华新能源新材料C,2021-11-24,2.3977,-2.27,1.61,2.26,2.70,49.37,82.85,222.05,272.31,56.24,139.75,10元,,0.00%,2017-09-15,李宜璇,股票型,银华基金,4.53亿元（截止至：2021-09-30）
d008640,方正富邦科技创新A,2021-11-24,2.6379,-1.16,2.87,2.25,2.89,48.39,82.68,,,52.02,163.79,1,0.15,0,2020-01-21,吴昊,混合型-偏股,方正富邦基金,1.55亿元（截止至：2021-09-30）
d501201,红土科技创新3年封闭混合,2021-11-24,2.2021,-0.49,3.36,10.35,2.29,55.60,82.47,,,49.15,120.21,1,0.15,0,2020-07-23,盖俊龙,混合型-灵活,红土创新基金,4.64亿元（截止至：2021-09-30）
d001606,农银工业4.0混合,2021-11-24,5.2570,-1.56,1.61,5.34,6.58,55.93,82.44,329.07,444.71,50.41,425.70,10元,1.50%,0.15%,2015-08-13,赵诣,混合型-灵活,农银汇理基金,60.03亿元（截止至：2021-09-30）
d610006,信达澳银产业升级混合,2021-11-24,3.6390,-0.98,3.18,0.55,-2.33,51.00,82.22,183.19,296.41,55.78,420.09,10元,1.50%,0.15%,2011-06-13,曾国富,混合型-偏股,信达澳银基金,8.45亿元（截止至：2021-09-30）
d008641,方正富邦科技创新C,2021-11-24,2.6244,-1.16,2.87,2.22,2.81,48.15,82.12,,,51.60,162.44,1,0.00,0,2020-01-21,吴昊,混合型-偏股,方正富邦基金,1.40亿元（截止至：2021-09-30）
d000126,招商安润混合,2021-11-24,4.2838,-2.53,1.59,2.04,0.63,41.92,82.04,232.21,316.31,56.95,475.75,1000元,1.50%,0.15%,2013-04-19,任琳娜,混合型-灵活,招商基金,11.17亿元（截止至：2021-09-30）
d160425,华安创业板两年定开混合,2021-11-19,1.8202,,-1.85,14.18,13.81,77.41,81.28,,,66.49,82.02,1,0.15,0,2020-09-03,蒋璆,混合型-偏股,华安基金,5.73亿元（截止至：2021-09-30）
d000336,农银研究精选混合,2021-11-24,5.5733,-1.46,1.64,5.13,6.09,53.61,81.16,331.50,460.69,51.87,457.33,10元,1.50%,0.15%,2013-11-05,赵诣,混合型-灵活,农银汇理基金,50.61亿元（截止至：2021-09-30）
d005821,万家新机遇龙头企业混合A,2021-11-24,2.7509,-1.00,-0.51,1.00,4.53,45.74,80.88,188.44,260.42,75.94,223.94,1,0.15,0,2018-05-25,束金伟,混合型-灵活,万家基金,23.71亿元（截止至：2021-09-30）
d163114,申万菱信中证环保产业指数(LOF)A,2021-11-23,1.9044,-0.62,4.64,4.05,11.78,51.93,80.80,183.03,211.86,59.20,177.86,1,0.12,0,2014-05-30,王赟杰,指数型-股票,申万菱信基金,4.58亿元（截止至：2021-09-30）
d010419,申万菱信中证环保产业指数(LOF)C,2021-11-23,1.8512,-0.62,4.63,4.02,11.70,51.69,80.29,,,58.78,85.12,1,0.00,0,2020-10-23,王赟杰,指数型-股票,申万菱信基金,0.19亿元（截止至：2021-09-30）
d001532,华安文体健康混合A,2021-11-24,4.1830,-0.45,2.12,6.19,5.07,39.29,80.22,233.04,347.86,66.79,318.30,10元,1.50%,0.15%,2017-06-08,刘畅畅,混合型-灵活,华安基金,87.13亿元（截止至：2021-09-30）
d540008,汇丰晋信低碳先锋股票A,2021-11-24,4.6265,-0.61,3.55,3.93,3.65,39.49,79.77,324.49,403.87,46.87,404.52,10元,1.50%,0.15%,2010-06-08,陆彬,股票型,汇丰晋信基金,108.63亿元（截止至：2021-09-30）
d006081,海富通电子传媒股票A,2021-11-24,3.7276,-0.65,3.26,13.47,8.15,67.46,79.18,184.09,,64.22,272.76,10元,1.50%,0.15%,2018-12-26,范庭芳,股票型,海富通基金,1.93亿元（截止至：2021-09-30）
d001300,大成睿景灵活配置混合A,2021-11-24,2.5260,-0.24,1.73,0.20,10.50,44.51,79.15,232.81,340.84,75.17,152.60,10元,1.50%,0.15%,2015-05-26,韩创,混合型-灵活,大成基金,28.11亿元（截止至：2021-09-30）
d210008,金鹰策略配置混合,2021-11-24,3.4672,-2.96,0.83,-2.67,-2.39,34.02,79.07,232.87,273.34,53.40,397.63,10元,1.50%,0.15%,2011-09-01,韩广哲,混合型-偏股,金鹰基金,12.47亿元（截止至：2021-09-30）
d007872,金信稳健策略灵活配置混合,2021-11-24,2.3648,0.24,7.39,17.19,10.71,52.75,78.53,,,63.72,136.48,1,0.15,0,2019-12-13,孔学兵,混合型-灵活,金信基金,18.70亿元（截止至：2021-09-30）
d200015,长城优化升级混合A,2021-11-24,5.6529,-0.82,3.68,13.34,10.81,54.60,78.29,170.94,268.44,60.79,532.60,10元,1.50%,0.15%,2012-04-20,周诗博,混合型-偏股,长城基金,3.26亿元（截止至：2021-09-30）
d161028,富国中证新能源汽车指数(LOF)A,2021-11-24,1.6180,-1.58,2.60,2.66,3.78,48.30,77.95,254.67,326.57,52.50,146.69,1,0.12,0,2015-03-30,牛志冬,指数型-股票,富国基金,101.73亿元（截止至：2021-09-30）
d006080,海富通电子传媒股票C,2021-11-24,3.6091,-0.65,3.25,13.39,7.93,66.80,77.76,179.65,,63.06,260.91,10元,,0.00%,2018-12-26,范庭芳,股票型,海富通基金,1.09亿元（截止至：2021-09-30）
d210003,金鹰行业优势混合,2021-11-24,3.7173,-1.32,1.08,2.73,0.61,53.99,77.74,218.13,315.99,62.84,406.84,10元,1.50%,0.15%,2009-07-01,倪超,混合型-偏股,金鹰基金,7.24亿元（截止至：2021-09-30）
d001301,大成睿景灵活配置混合C,2021-11-24,2.3960,-0.25,1.74,0.13,10.26,43.90,77.74,227.77,330.94,74.00,139.60,10元,,0.00%,2015-05-26,韩创,混合型-灵活,大成基金,25.27亿元（截止至：2021-09-30）
d001569,泰信国策驱动灵活配置混合,2021-11-24,2.4740,-1.59,1.85,2.87,-0.80,49.04,77.60,239.37,370.34,57.08,147.40,10元,1.50%,0.15%,2015-10-27,吴秉韬,混合型-灵活,泰信基金,2.70亿元（截止至：2021-09-30）
d610004,信达澳银中小盘混合,2021-11-24,4.3290,-1.68,2.70,-0.39,-3.59,56.34,77.35,166.07,297.89,54.17,332.90,10元,1.50%,0.15%,2009-12-01,曾国富,混合型-偏股,信达澳银基金,10.11亿元（截止至：2021-09-30）
d006233,万家汽车新趋势混合A,2021-11-24,3.1473,-0.09,5.12,8.67,-0.21,47.68,77.10,220.04,,57.93,214.73,10元,1.50%,0.15%,2019-10-23,李文宾,混合型-偏股,万家基金,1.72亿元（截止至：2021-09-30）
d007163,浦银安盛环保新能源A,2021-11-24,2.9198,-2.02,1.34,6.91,7.20,55.25,77.00,190.07,,51.25,191.98,10元,1.50%,0.15%,2019-07-09,杨达伟,混合型-偏股,浦银安盛基金,0.73亿元（截止至：2021-09-30）
